Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,Suppressed
8/22/2023,8/22/2023,8/24/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,6,$9 ,$18 ,N
8/22/2023,8/22/2023,8/23/2023,,ACH Deposit,ACH,-1,$4 ,$36 ,N
8/8/2023,8/8/2023,8/10/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,2,$2 ,$16 ,N
8/8/2023,8/8/2023,8/9/2023,,ACH Deposit,ACH,5,$2 ,$14 ,N
8/1/2023,8/1/2023,8/3/2023,LOW,Lowe's,Buy,1,$5 ,($35),N
8/1/2023,8/1/2023,8/3/2023,HD,Home Depot,Buy,7,$9 ,$18 ,N
8/1/2023,8/1/2023,8/2/2023,,ACH Deposit,ACH,13,$10 ,$60 ,N
7/25/2023,7/25/2023,7/27/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,0,$7 ,$35 ,N
7/25/2023,7/25/2023,7/26/2023,,ACH Deposit,ACH,7,$5 ,$50 ,N
7/11/2023,7/11/2023,7/13/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,8,$6 ,($6),N
7/11/2023,7/11/2023,7/12/2023,,ACH Deposit,ACH,0,$4 ,$4 ,N
6/30/2023,6/30/2023,6/30/2023,,Interest Payment,INT,1,$3 ,$6 ,N
6/29/2023,6/29/2023,7/3/2023,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Buy,9,$5 ,($5),N
6/28/2023,6/28/2023,6/28/2023,NOBL,Cash Div: R/D 2023-06-22 P/D 2023-06-28 - 23.931166 shares at 0.462991,CDIV,6,$5 ,$15 ,N
6/28/2023,6/28/2023,6/30/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,1,$7 ,$35 ,N
6/28/2023,6/28/2023,6/30/2023,TSLA,Tesla,Sell,12,$6 ,$54 ,N
6/28/2023,6/28/2023,6/30/2023,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Buy,14,$8 ,$64 ,N
6/28/2023,6/28/2023,6/30/2023,BRLT,Brilliant Earth Group,Sell,-1,$8 ,$72 ,N
6/27/2023,6/27/2023,6/29/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,10,$8 ,($56),N
6/27/2023,6/27/2023,6/28/2023,,ACH Deposit,ACH,5,$9 ,$0 ,N
6/26/2023,6/26/2023,6/28/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,15,$2 ,($6),N
6/23/2023,6/23/2023,6/23/2023,SPYG,Cash Div: R/D 2023-06-21 P/D 2023-06-23 - 305.56349 shares at 0.186154,CDIV,9,$5 ,($10),N
6/23/2023,6/23/2023,6/27/2023,HD,Home Depot,Buy,9,$2 ,$20 ,N
6/23/2023,6/23/2023,6/27/2023,COIN,Coinbase,Sell,0,$10 ,($30),N
6/16/2023,6/16/2023,6/21/2023,NEE,NextEra Energy,Buy,6,$8 ,($64),N
6/16/2023,6/16/2023,6/21/2023,HD,Home Depot,Buy,15,$5 ,($5),N
6/15/2023,6/15/2023,6/15/2023,HD,Cash Div: R/D 2023-06-01 P/D 2023-06-15 - 1.936925 shares at 2.09,CDIV,1,$9 ,$0 ,N
6/15/2023,6/15/2023,6/15/2023,NEE,Cash Div: R/D 2023-05-30 P/D 2023-06-15 - 30.968225 shares at 0.4675,CDIV,13,$3 ,$3 ,N
6/13/2023,6/13/2023,6/15/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,2,$4 ,$32 ,N
6/13/2023,6/13/2023,6/14/2023,,ACH Deposit,ACH,9,$2 ,$2 ,N
6/9/2023,6/9/2023,6/13/2023,MSFT,Microsoft,Buy,10,$6 ,($12),N
6/8/2023,6/8/2023,6/8/2023,MSFT,Cash Div: R/D 2023-05-18 P/D 2023-06-08 - 14.812367 shares at 0.68,CDIV,-1,$2 ,$18 ,N
5/30/2023,5/30/2023,6/1/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,2,$7 ,($14),N
5/30/2023,5/30/2023,5/31/2023,,ACH Deposit,ACH,9,$5 ,$25 ,N
5/16/2023,5/16/2023,5/18/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,14,$8 ,$8 ,N
5/16/2023,5/16/2023,5/16/2023,,ACH Deposit,ACH,2,$9 ,$45 ,N
5/9/2023,5/9/2023,5/9/2023,BABA,ADR Fee: R/D 2023-03-31 P/D 2023-05-09 - 35.996901 shares at 0.02,AFEE,12,$10 ,($100),N
5/2/2023,5/2/2023,5/4/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,2,$4 ,$16 ,N
5/2/2023,5/2/2023,5/2/2023,,ACH Deposit,ACH,14,$8 ,$40 ,N
4/18/2023,4/18/2023,4/20/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,11,$10 ,($10),N
4/18/2023,4/18/2023,4/18/2023,,ACH Deposit,ACH,15,$8 ,$72 ,N
4/4/2023,4/4/2023,4/6/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,5,$8 ,($32),N
4/4/2023,4/4/2023,4/4/2023,,ACH Deposit,ACH,6,$1 ,($6),N
3/31/2023,3/31/2023,3/31/2023,,Interest Payment,INT,2,$8 ,($16),N
3/30/2023,3/30/2023,4/3/2023,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Buy,3,$8 ,($8),N
3/29/2023,3/29/2023,3/29/2023,NOBL,Cash Div: R/D 2023-03-23 P/D 2023-03-29 - 23.837357 shares at 0.353893,CDIV,1,$1 ,($4),N
3/24/2023,3/24/2023,3/28/2023,HD,Home Depot,Buy,14,$7 ,($28),N
3/24/2023,3/24/2023,3/28/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,11,$7 ,($63),N
3/23/2023,3/23/2023,3/23/2023,HD,Cash Div: R/D 2023-03-09 P/D 2023-03-23 - 1.922798 shares at 2.09,CDIV,15,$10 ,$50 ,N
3/23/2023,3/23/2023,3/23/2023,SPYG,Cash Div: R/D 2023-03-21 P/D 2023-03-23 - 301.446079 shares at 0.178967,CDIV,3,$3 ,$6 ,N
3/21/2023,3/21/2023,3/23/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,0,$3 ,($21),N
3/21/2023,3/21/2023,3/21/2023,,ACH Deposit,ACH,1,$3 ,($30),N
3/16/2023,3/16/2023,3/20/2023,NEE,NextEra Energy,Buy,5,$2 ,($8),N
3/15/2023,3/15/2023,3/15/2023,NEE,Cash Div: R/D 2023-02-28 P/D 2023-03-15 - 30.777301 shares at 0.4675,CDIV,10,$9 ,($90),N
3/10/2023,3/10/2023,3/14/2023,MSFT,Microsoft,Buy,4,$4 ,$36 ,N
3/9/2023,3/9/2023,3/9/2023,MSFT,Cash Div: R/D 2023-02-16 P/D 2023-03-09 - 14.772135 shares at 0.68,CDIV,0,$4 ,($32),N
3/7/2023,3/7/2023,3/9/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,13,$6 ,($6),N
3/7/2023,3/7/2023,3/7/2023,,ACH Deposit,ACH,0,$10 ,($80),N
2/21/2023,2/21/2023,2/23/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,2,$10 ,$80 ,N
2/21/2023,2/21/2023,2/21/2023,,ACH Deposit,ACH,14,$6 ,$12 ,N
2/7/2023,2/7/2023,2/9/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,13,$3 ,($12),N
2/7/2023,2/7/2023,2/7/2023,,ACH Deposit,ACH,11,$9 ,$72 ,N
1/31/2023,1/31/2023,1/31/2023,,Interest Payment,INT,1,$2 ,($18),N
1/24/2023,1/24/2023,1/26/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,15,$4 ,($40),N
1/24/2023,1/24/2023,1/24/2023,,ACH Deposit,ACH,10,$5 ,$0 ,N
1/10/2023,1/10/2023,1/12/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,6,$3 ,($24),N
1/10/2023,1/10/2023,1/10/2023,,ACH Deposit,ACH,3,$6 ,$54 ,N
1/6/2023,1/6/2023,1/6/2023,ESPO,Stock Lending,SLIP,12,$4 ,$12 ,N
1/6/2023,1/6/2023,1/6/2023,NOBL,Stock Lending,SLIP,5,$6 ,($6),N
1/6/2023,1/6/2023,1/6/2023,COIN,Stock Lending,SLIP,-1,$9 ,$0 ,N
1/6/2023,1/6/2023,1/6/2023,ARKG,Stock Lending,SLIP,0,$6 ,$48 ,N
1/6/2023,1/6/2023,1/6/2023,ARKK,Stock Lending,SLIP,5,$4 ,($12),N
1/3/2023,1/3/2023,1/5/2023,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Buy,14,$10 ,$30 ,N
12/30/2022,12/30/2022,12/30/2022,NOBL,Cash Div: R/D 2022-12-23 P/D 2022-12-30 - 23.678988 shares at 0.60037,CDIV,6,$8 ,($32),N
12/30/2022,12/30/2022,12/30/2022,,Interest Payment,INT,13,$5 ,$45 ,N
12/27/2022,12/27/2022,12/29/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,0,$4 ,($40),N
12/27/2022,12/27/2022,12/29/2022,ESPO,VanEck Video Gaming and eSports ETF,Buy,13,$6 ,$42 ,N
12/27/2022,12/27/2022,12/27/2022,,ACH Deposit,ACH,13,$1 ,$4 ,N
12/23/2022,12/23/2022,12/23/2022,ESPO,Cash Div: R/D 2022-12-20 P/D 2022-12-23 - 17.408326 shares at 0.3917,CDIV,1,$2 ,$16 ,N
12/23/2022,12/23/2022,12/28/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,5,$4 ,($40),N
12/22/2022,12/22/2022,12/22/2022,SPYG,Cash Div: R/D 2022-12-20 P/D 2022-12-22 - 297.763141 shares at 0.139564,CDIV,15,$8 ,$16 ,N
12/16/2022,12/16/2022,12/20/2022,HD,Home Depot,Buy,4,$2 ,$20 ,N
12/16/2022,12/16/2022,12/20/2022,NEE,NextEra Energy,Buy,2,$4 ,$20 ,N
12/15/2022,12/15/2022,12/15/2022,HD,Cash Div: R/D 2022-12-01 P/D 2022-12-15 - 1.911471 shares at 1.9,CDIV,8,$10 ,$90 ,N
12/15/2022,12/15/2022,12/15/2022,NEE,Cash Div: R/D 2022-11-25 P/D 2022-12-15 - 30.622531 shares at 0.425,CDIV,1,$1 ,($8),N
12/13/2022,12/13/2022,12/15/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,13,$4 ,($36),N
12/13/2022,12/13/2022,12/13/2022,,ACH Deposit,ACH,8,$10 ,$30 ,N
12/9/2022,12/9/2022,12/13/2022,MSFT,Microsoft,Buy,8,$6 ,$30 ,N
12/8/2022,12/8/2022,12/8/2022,MSFT,Cash Div: R/D 2022-11-17 P/D 2022-12-08 - 14.7315 shares at 0.68,CDIV,0,$4 ,($40),N
12/6/2022,12/6/2022,12/6/2022,ESPO,Stock Lending,SLIP,0,$1 ,($8),N
12/6/2022,12/6/2022,12/6/2022,COIN,Stock Lending,SLIP,15,$9 ,$18 ,N
12/6/2022,12/6/2022,12/6/2022,ARKG,Stock Lending,SLIP,6,$7 ,($28),N
12/6/2022,12/6/2022,12/6/2022,ARKK,Stock Lending,SLIP,14,$10 ,$70 ,N
11/30/2022,11/30/2022,11/30/2022,,Interest Payment,INT,4,$7 ,($14),N
11/29/2022,11/29/2022,12/1/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,4,$1 ,($3),N
11/25/2022,11/25/2022,11/25/2022,,ACH Withdrawal,ACH,10,$10 ,($80),N
11/23/2022,11/23/2022,11/23/2022,,Crypto Money Movement,COIN,-1,$2 ,$6 ,N
11/23/2022,11/23/2022,11/23/2022,,Crypto Money Movement,COIN,15,$3 ,$6 ,N
11/23/2022,11/23/2022,11/23/2022,,Crypto Money Movement,COIN,11,$5 ,$35 ,N
11/15/2022,11/15/2022,11/17/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,0,$4 ,$24 ,N
11/15/2022,11/15/2022,11/15/2022,,ACH Deposit,ACH,-1,$2 ,($8),N
11/4/2022,11/4/2022,11/4/2022,ESPO,Stock Lending,SLIP,2,$10 ,($20),N
11/4/2022,11/4/2022,11/4/2022,TSLA,Stock Lending,SLIP,10,$9 ,$9 ,N
11/4/2022,11/4/2022,11/4/2022,COIN,Stock Lending,SLIP,15,$4 ,($40),N
11/4/2022,11/4/2022,11/4/2022,ARKG,Stock Lending,SLIP,15,$4 ,$24 ,N
11/4/2022,11/4/2022,11/4/2022,ARKK,Stock Lending,SLIP,10,$7 ,$35 ,N
11/1/2022,11/1/2022,11/3/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,15,$4 ,$8 ,N
11/1/2022,11/1/2022,11/1/2022,,ACH Deposit,ACH,14,$4 ,($40),N
10/31/2022,10/31/2022,10/31/2022,,Interest Payment,INT,3,$2 ,($12),N
10/18/2022,10/18/2022,10/20/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,0,$6 ,($6),N
10/18/2022,10/18/2022,10/18/2022,,ACH Deposit,ACH,7,$6 ,($18),N
10/14/2022,10/14/2022,10/18/2022,MSFT,Microsoft,Buy,3,$2 ,$6 ,N
10/14/2022,10/14/2022,10/14/2022,,ACH Deposit,ACH,12,$1 ,$6 ,N
10/6/2022,10/6/2022,10/6/2022,TSLA,Stock Lending,SLIP,3,$8 ,($40),N
10/6/2022,10/6/2022,10/6/2022,COIN,Stock Lending,SLIP,11,$2 ,$6 ,N
10/6/2022,10/6/2022,10/6/2022,ANSS,Stock Lending,SLIP,12,$2 ,$12 ,N
10/6/2022,10/6/2022,10/6/2022,ARKG,Stock Lending,SLIP,14,$9 ,$90 ,N
10/6/2022,10/6/2022,10/6/2022,ARKK,Stock Lending,SLIP,8,$2 ,($18),N
10/4/2022,10/4/2022,10/6/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,-1,$4 ,($24),N
10/4/2022,10/4/2022,10/6/2022,NEE,NextEra Energy,Buy,5,$10 ,($40),N
10/4/2022,10/4/2022,10/4/2022,,ACH Deposit,ACH,13,$3 ,($12),N
9/30/2022,9/30/2022,9/30/2022,,Interest Payment,INT,2,$8 ,$16 ,N
9/30/2022,9/30/2022,10/4/2022,MSFT,Microsoft,Buy,8,$9 ,($54),N
9/30/2022,9/30/2022,9/30/2022,,ACH Deposit,ACH,15,$3 ,($27),N
9/29/2022,9/29/2022,10/3/2022,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Buy,0,$2 ,$0 ,N
9/28/2022,9/28/2022,9/28/2022,NOBL,Cash Div: R/D 2022-09-22 P/D 2022-09-28 - 23.562888 shares at 0.403209,CDIV,2,$5 ,$10 ,N
9/23/2022,9/23/2022,9/27/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,-1,$4 ,$36 ,N
9/22/2022,9/22/2022,9/22/2022,SPYG,Cash Div: R/D 2022-09-20 P/D 2022-09-22 - 279.423906 shares at 0.134315,CDIV,3,$4 ,($32),N
9/20/2022,9/20/2022,9/22/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,5,$2 ,($10),N
9/20/2022,9/20/2022,9/22/2022,NEE,NextEra Energy,Buy,12,$4 ,($32),N
9/20/2022,9/20/2022,9/20/2022,,ACH Deposit,ACH,12,$10 ,$30 ,N
9/16/2022,9/16/2022,9/20/2022,MSFT,Microsoft,Buy,6,$2 ,($16),N
9/16/2022,9/16/2022,9/16/2022,,ACH Deposit,ACH,0,$5 ,$15 ,N
9/16/2022,9/16/2022,9/20/2022,NEE,NextEra Energy,Buy,7,$9 ,($27),N
9/16/2022,9/16/2022,9/20/2022,HD,Home Depot,Buy,9,$4 ,($20),N
9/15/2022,9/15/2022,9/15/2022,HD,Cash Div: R/D 2022-09-01 P/D 2022-09-15 - 1.898075 shares at 1.9,CDIV,9,$4 ,($4),N
9/15/2022,9/15/2022,9/15/2022,NEE,Cash Div: R/D 2022-08-30 P/D 2022-09-15 - 29.59144 shares at 0.425,CDIV,5,$6 ,($54),N
9/9/2022,9/9/2022,9/13/2022,MSFT,Microsoft,Buy,9,$9 ,($72),N
9/8/2022,9/8/2022,9/8/2022,MSFT,Cash Div: R/D 2022-08-18 P/D 2022-09-08 - 12.693683 shares at 0.62,CDIV,3,$1 ,$0 ,N
9/7/2022,9/7/2022,9/7/2022,COIN,Stock Lending,SLIP,9,$3 ,$18 ,N
9/7/2022,9/7/2022,9/7/2022,BYND,Stock Lending,SLIP,1,$6 ,$60 ,N
9/7/2022,9/7/2022,9/7/2022,ANSS,Stock Lending,SLIP,5,$6 ,($6),N
9/7/2022,9/7/2022,9/7/2022,ARKG,Stock Lending,SLIP,5,$3 ,($27),N
9/7/2022,9/7/2022,9/7/2022,ARKK,Stock Lending,SLIP,3,$10 ,($50),N
9/6/2022,9/6/2022,9/8/2022,NEE,NextEra Energy,Buy,5,$10 ,($100),N
9/6/2022,9/6/2022,9/8/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,4,$10 ,($50),N
9/6/2022,9/6/2022,9/6/2022,,ACH Deposit,ACH,12,$9 ,($90),N
9/2/2022,9/2/2022,9/7/2022,MSFT,Microsoft,Buy,0,$7 ,($42),N
8/31/2022,8/31/2022,8/31/2022,,Interest Payment,INT,1,$8 ,$32 ,N
8/25/2022,8/25/2022,8/25/2022,--,Tesla,SPL,1,$2 ,($12),N
8/23/2022,8/23/2022,8/25/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,1,$10 ,$20 ,N
8/23/2022,8/23/2022,8/25/2022,NEE,NextEra Energy,Buy,15,$7 ,($56),N
8/23/2022,8/23/2022,8/25/2022,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Buy,4,$10 ,($70),N
8/23/2022,8/23/2022,8/25/2022,BYND,Beyond Meat,Sell,10,$7 ,($63),N
8/19/2022,8/19/2022,8/23/2022,MSFT,Microsoft,Buy,9,$3 ,$6 ,N
8/9/2022,8/9/2022,8/11/2022,NEE,NextEra Energy,Buy,5,$7 ,($7),N
8/9/2022,8/9/2022,8/11/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,14,$10 ,($100),N
8/5/2022,8/5/2022,8/5/2022,NOBL,Stock Lending,SLIP,5,$7 ,($28),N
8/5/2022,8/5/2022,8/5/2022,COIN,Stock Lending,SLIP,14,$4 ,$20 ,N
8/5/2022,8/5/2022,8/5/2022,BYND,Stock Lending,SLIP,3,$9 ,$36 ,N
8/5/2022,8/5/2022,8/9/2022,MSFT,Microsoft,Buy,11,$4 ,($32),N
7/29/2022,7/29/2022,7/29/2022,,Interest Payment,INT,1,$5 ,($40),N
7/26/2022,7/26/2022,7/28/2022,NEE,NextEra Energy,Buy,11,$4 ,$36 ,N
7/26/2022,7/26/2022,7/28/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,6,$7 ,$14 ,N
7/22/2022,7/22/2022,7/26/2022,MSFT,Microsoft,Buy,9,$5 ,($10),N
7/20/2022,7/20/2022,7/20/2022,,Interest Payment,INT,10,$5 ,($10),N
7/18/2022,7/18/2022,7/20/2022,BABA,Alibaba,Buy,11,$9 ,($90),N
7/18/2022,7/18/2022,7/18/2022,--,Alphabet Class C,SPL,12,$7 ,$42 ,N
7/15/2022,7/15/2022,7/19/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,7,$6 ,$60 ,N
7/15/2022,7/15/2022,7/19/2022,ABNB,Airbnb,Buy,1,$6 ,($18),N
7/15/2022,7/15/2022,7/15/2022,,Crypto Money Movement,COIN,3,$9 ,$45 ,N
7/12/2022,7/12/2022,7/14/2022,NEE,NextEra Energy,Buy,1,$4 ,($32),N
7/12/2022,7/12/2022,7/14/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,14,$7 ,$42 ,N
7/8/2022,7/8/2022,7/12/2022,MSFT,Microsoft,Buy,14,$10 ,$80 ,N
6/30/2022,6/30/2022,6/30/2022,,Interest Payment,INT,15,$6 ,$48 ,N
6/30/2022,6/30/2022,7/5/2022,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Buy,3,$10 ,($100),N
6/29/2022,6/29/2022,6/29/2022,NOBL,Cash Div: R/D 2022-06-23 P/D 2022-06-29 - 21.464777 shares at 0.388262,CDIV,1,$10 ,($40),N
6/28/2022,6/28/2022,6/30/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,3,$1 ,($3),N
6/28/2022,6/28/2022,6/30/2022,NEE,NextEra Energy,Buy,8,$5 ,$5 ,N
6/28/2022,6/28/2022,6/30/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,5,$4 ,($40),N
6/28/2022,6/28/2022,6/28/2022,,ACH Deposit,ACH,5,$10 ,$50 ,N
6/27/2022,6/27/2022,6/29/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,7,$10 ,$80 ,N
6/24/2022,6/24/2022,6/24/2022,SPYG,Cash Div: R/D 2022-06-22 P/D 2022-06-24 - 251.042275 shares at 0.130936,CDIV,2,$6 ,$18 ,N
6/24/2022,6/24/2022,6/28/2022,MSFT,Microsoft,Buy,8,$6 ,($54),N
6/24/2022,6/24/2022,6/24/2022,,ACH Deposit,ACH,0,$3 ,($27),N
6/17/2022,6/17/2022,6/22/2022,HD,Home Depot,Buy,11,$8 ,($24),N
6/16/2022,6/16/2022,6/16/2022,HD,Cash Div: R/D 2022-06-02 P/D 2022-06-16 - 1.884926 shares at 1.9,CDIV,3,$10 ,$30 ,N
6/16/2022,6/16/2022,6/21/2022,NEE,NextEra Energy,Buy,10,$7 ,($7),N
6/15/2022,6/15/2022,6/15/2022,NEE,Cash Div: R/D 2022-05-31 P/D 2022-06-15 - 26.914402 shares at 0.425,CDIV,2,$7 ,($63),N
6/14/2022,6/14/2022,6/16/2022,NEE,NextEra Energy,Buy,10,$9 ,$0 ,N
6/14/2022,6/14/2022,6/16/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,6,$1 ,$4 ,N
6/14/2022,6/14/2022,6/14/2022,,ACH Deposit,ACH,11,$10 ,$50 ,N
6/14/2022,6/14/2022,6/14/2022,,ACH Deposit,ACH,5,$6 ,$24 ,N
6/10/2022,6/10/2022,6/14/2022,MSFT,Microsoft,Buy,7,$2 ,($16),N
6/10/2022,6/10/2022,6/10/2022,,ACH Deposit,ACH,10,$1 ,($1),N
6/10/2022,6/10/2022,6/14/2022,MSFT,Microsoft,Buy,2,$10 ,$20 ,N
6/9/2022,6/9/2022,6/9/2022,MSFT,Cash Div: R/D 2022-05-19 P/D 2022-06-09 - 10.411816 shares at 0.62,CDIV,14,$9 ,($18),N
5/31/2022,5/31/2022,5/31/2022,,Interest Payment,INT,1,$4 ,$24 ,N
5/31/2022,5/31/2022,6/2/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,-1,$6 ,($42),N
5/31/2022,5/31/2022,6/2/2022,NEE,NextEra Energy,Buy,12,$8 ,($24),N
5/31/2022,5/31/2022,5/31/2022,,ACH Deposit,ACH,3,$5 ,$5 ,N
5/31/2022,5/31/2022,5/31/2022,,ACH Deposit,ACH,7,$8 ,$80 ,N
5/27/2022,5/27/2022,6/1/2022,MSFT,Microsoft,Buy,4,$1 ,$5 ,N
5/27/2022,5/27/2022,5/27/2022,,ACH Deposit,ACH,7,$9 ,$36 ,N
5/17/2022,5/17/2022,5/19/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,4,$8 ,$32 ,N
5/17/2022,5/17/2022,5/19/2022,NEE,NextEra Energy,Buy,3,$4 ,$20 ,N
5/17/2022,5/17/2022,5/17/2022,,ACH Deposit,ACH,1,$2 ,($14),N
5/17/2022,5/17/2022,5/17/2022,,ACH Deposit,ACH,14,$2 ,$18 ,N
5/13/2022,5/13/2022,5/17/2022,MSFT,Microsoft,Buy,10,$7 ,($49),N
5/13/2022,5/13/2022,5/17/2022,ANSS,ANSYS,Buy,13,$6 ,($18),N
5/13/2022,5/13/2022,5/13/2022,,Crypto Money Movement,COIN,14,$3 ,$30 ,N
5/13/2022,5/13/2022,5/13/2022,,ACH Deposit,ACH,14,$6 ,$24 ,N
5/10/2022,5/10/2022,5/10/2022,BABA,ADR Fee: R/D 2022-03-31 P/D 2022-05-10 - 34.996901 shares at 0.02,AFEE,3,$3 ,($21),N
5/9/2022,5/9/2022,5/9/2022,,Crypto Money Movement,COIN,10,$7 ,$70 ,N
5/9/2022,5/9/2022,5/11/2022,TSLA,Tesla,Buy,1,$2 ,$0 ,N
5/9/2022,5/9/2022,5/11/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,10,$6 ,($60),N
5/9/2022,5/9/2022,5/11/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,2,$4 ,($24),N
5/9/2022,5/9/2022,5/11/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,11,$4 ,($28),N
5/9/2022,5/9/2022,5/9/2022,,ACH Deposit,ACH,7,$8 ,$8 ,N
5/3/2022,5/3/2022,5/5/2022,NEE,NextEra Energy,Buy,9,$8 ,$8 ,N
5/3/2022,5/3/2022,5/5/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,12,$7 ,($14),N
5/3/2022,5/3/2022,5/3/2022,,ACH Deposit,ACH,2,$7 ,$63 ,N
5/3/2022,5/3/2022,5/3/2022,,ACH Deposit,ACH,11,$7 ,$28 ,N
4/29/2022,4/29/2022,4/29/2022,,Interest Payment,INT,-1,$4 ,$8 ,N
4/29/2022,4/29/2022,5/3/2022,MSFT,Microsoft,Buy,-1,$7 ,($7),N
